IdYearly,Station,Dates,pH,Dissolved Oxygen (mg/L),Water Temperature (°C),Suspended solids (mg/L),Conductivity (µS/cm),5-Day Biochemical Oxygen Demand (mg/L),Ammonia-Nitrogen (mg/L),Total Phosphorus (mg/L),Nitrate-Nitrogen (mg/L),Nitrite-Nitrogen (mg/L)
0,AN1,1/22/2018,8.1,8.5,18.4,4.2,25630,1.4,0.39,0.09,0.63,0.03
1,AN1,2/1/2018,8.3,10.2,11.6,12,12591,2.5,0.39,0.13,1.1,0.024
2,AN1,3/19/2018,8.3,8.7,21.8,1.2,3226,1.9,0.94,0.22,1.2,0.12
3,AN1,4/26/2018,8.1,8,22.1,2.3,22720,0.4,0.065,0.31,1.3,0.014
4,AN1,5/11/2018,8.3,8,23.6,5.3,18069,1.1,0.48,0.09,1.1,0.046
5,AN1,6/14/2018,7.9,8,25.6,1.7,8217,0.5,0.018,0.05,0.66,0.007
6,AN1,7/16/2018,7.7,7.9,26.8,7.4,2265,0.3,0.028,0.08,0.4,0.018
7,AN1,8/16/2018,7.7,7.8,26.8,3.8,2711,9,0.056,0.06,0.48,0.01
8,AN1,9/13/2018,7.6,8.2,25.6,5.2,385,1.9,0.5,0.1,0.53,0.027
9,AN1,10/18/2018,7.9,8.5,22.5,5.1,8819,0.5,0.058,0.04,0.62,0.024
10,AN1,11/15/2018,8.2,8.4,22.4,7.9,16340,0.4,0.03,0.05,0.51,0.01
11,AN1,12/8/2018,7.9,8.9,18.3,5.9,18695,0.6,0.044,0.06,0.47,0.02
12,AN2,1/22/2018,8.3,10.1,19.2,1.3,180,0.8,0.034,0.07,0.57,0.016
13,AN2,2/1/2018,8.7,11.6,11.3,1.4,84,4.2,2,0.16,0.62,0.022
14,AN2,3/19/2018,9.2,11.5,22.5,1.4,156,1.1,0.026,0.12,0.46,0.035
15,AN2,4/26/2018,9.1,10.6,22.3,1.1,221,0.6,0.03,0.13,0.56,0.012
16,AN2,5/11/2018,8.8,10.3,24.4,1.7,193,0.9,0.02,0.08,0.48,0.012
17,AN2,6/14/2018,8,8.5,25.4,2,329,0.2,0.019,0.05,0.33,0.002
18,AN2,7/16/2018,7.4,7.9,26.8,3.4,109,0.5,0.01,0.07,0.22,0.007
19,AN2,8/16/2018,7.5,8,26.5,3,116,0.4,0.11,0.04,0.21,0.002
20,AN2,9/13/2018,7.7,8.2,25.2,3.3,157,0.3,0.015,0.04,0.19,0.002
21,AN2,10/18/2018,7.3,8.8,22.1,1.8,119,0.5,0.026,0.03,0.39,0.008
22,AN2,11/15/2018,8.1,9.2,22.3,1,184,0.2,0.018,0.05,0.24,0.002
23,AN2,12/8/2018,8.1,9.7,18.4,1.9,178,0.1,0.011,0.06,0.38,0.003
24,DB1,1/25/2018,6.3,9.6,18,1.2,37,0.1,0.022,0.02,0.24,0.002
25,DB1,2/23/2018,6.9,9.9,16.4,1.6,37,0.1,0.025,0.02,0.33,0.002
26,DB1,3/22/2018,6.6,9.4,20.2,1.8,44,0.3,0.005,0.02,0.19,0.002
27,DB1,4/23/2018,6.7,8.2,27.2,1.7,62,0.4,0.008,0.02,0.17,0.002
28,DB1,5/24/2018,6.7,7.6,31.9,2,63,0.2,0.018,0.02,0.27,0.002
29,DB1,6/25/2018,5.8,8,27,1900,31,3.3,0.2,0.19,0.59,0.004
30,DB1,7/23/2018,6.4,7.7,28.7,4.7,86,0.2,0.02,0.02,0.53,0.004
31,DB1,8/29/2018,6.4,8,26.4,7.1,82,0.1,0.015,0.02,0.98,0.002
